# Renewables.ninja Weather (Point API) - 42.360, -71.058 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/,,,,,,,,,,,,,,,,,
# Units: time in UTC, local_time in America/New_York, temperature in ºC, radiation_surface in W/m²,,,,,,,,,,,,,,,
"# {""units"": {""time"": ""UTC"""," ""local_time"": ""America/New_York"""," ""temperature"": ""\u00baC"""," ""radiation_surface"": ""W/m\u00b2""}"," ""params"": {""local_time"": true"," ""header"": true"," ""lat"": ""42.3602534"""," ""lon"": ""-71.0582912"""," ""date_from"": ""2015-01-01"""," ""date_to"": ""2015-12-31"""," ""dataset"": ""merra2"""," ""var_t2m"": true"," ""var_prectotland"": false"," ""var_precsnoland"": false"," ""var_snomas"": false"," ""var_rhoa"": false"," ""var_swgdn"": true"," ""var_swtdn"": false"," ""var_cldtot"": false}}"
time,local_time,temperature,radiation_surface,,,,,,,,,,,,,,,
1/1/2015 0:00,12/31/2014 19:00,-5.616,0,,,,,,,,,,,,,,,
1/1/2015 1:00,12/31/2014 20:00,-6.043,0,,,,,,,,,,,,,,,
1/1/2015 2:00,12/31/2014 21:00,-6.344,0,,,,,,,,,,,,,,,
1/1/2015 3:00,12/31/2014 22:00,-6.32,0,,,,,,,,,,,,,,,
1/1/2015 4:00,12/31/2014 23:00,-6.146,0,,,,,,,,,,,,,,,
1/1/2015 5:00,1/1/2015 0:00,-6.162,0,,,,,,,,,,,,,,,
1/1/2015 6:00,1/1/2015 1:00,-5.983,0,,,,,,,,,,,,,,,
1/1/2015 7:00,1/1/2015 2:00,-5.806,0,,,,,,,,,,,,,,,
1/1/2015 8:00,1/1/2015 3:00,-5.642,0,,,,,,,,,,,,,,,
1/1/2015 9:00,1/1/2015 4:00,-5.615,0,,,,,,,,,,,,,,,
1/1/2015 10:00,1/1/2015 5:00,-5.871,0,,,,,,,,,,,,,,,
1/1/2015 11:00,1/1/2015 6:00,-6.118,0,,,,,,,,,,,,,,,
1/1/2015 12:00,1/1/2015 7:00,-6.137,26.582,,,,,,,,,,,,,,,
1/1/2015 13:00,1/1/2015 8:00,-5.11,144.189,,,,,,,,,,,,,,,
1/1/2015 14:00,1/1/2015 9:00,-3.579,257.554,,,,,,,,,,,,,,,
1/1/2015 15:00,1/1/2015 10:00,-2.342,348.643,,,,,,,,,,,,,,,
1/1/2015 16:00,1/1/2015 11:00,-1.497,405.96,,,,,,,,,,,,,,,
1/1/2015 17:00,1/1/2015 12:00,-0.876,412.274,,,,,,,,,,,,,,,
1/1/2015 18:00,1/1/2015 13:00,-0.537,341.606,,,,,,,,,,,,,,,
1/1/2015 19:00,1/1/2015 14:00,-0.626,179.828,,,,,,,,,,,,,,,
1/1/2015 20:00,1/1/2015 15:00,-1.017,48.365,,,,,,,,,,,,,,,
1/1/2015 21:00,1/1/2015 16:00,-1.487,0.975,,,,,,,,,,,,,,,
1/1/2015 22:00,1/1/2015 17:00,-1.616,0,,,,,,,,,,,,,,,
1/1/2015 23:00,1/1/2015 18:00,-1.688,0,,,,,,,,,,,,,,,
1/2/2015 0:00,1/1/2015 19:00,-1.755,0,,,,,,,,,,,,,,,
1/2/2015 1:00,1/1/2015 20:00,-1.822,0,,,,,,,,,,,,,,,
1/2/2015 2:00,1/1/2015 21:00,-1.903,0,,,,,,,,,,,,,,,
1/2/2015 3:00,1/1/2015 22:00,-2.041,0,,,,,,,,,,,,,,,
1/2/2015 4:00,1/1/2015 23:00,-1.934,0,,,,,,,,,,,,,,,
1/2/2015 5:00,1/2/2015 0:00,-1.992,0,,,,,,,,,,,,,,,
1/2/2015 6:00,1/2/2015 1:00,-2.009,0,,,,,,,,,,,,,,,
